,site_name,address
0,THE COLLEGE OF SAINT ROSE,1020 MADISON AVE ALBANY NY
1,CHINESE CHRISTIAN CHURCH OF,901 MADISON AVE ALBANY NY
2,ST. VINCENT DE PAUL CHURCH,890-900 MADISON AVE ALBANY NY
3,MAIMONIDES HEBREW DAY,404 PARTRIDGE ST ALBANY NY
4,SHOMRAY TORAH CORP,463 NEW SCOTLAND AVE ALBANY NY
5,ST. TERESA'S OF AVILA CHURCH,397 NEW SCOTLAND AVE ALBANY NY
6,ALBANY CITY SCHOOL DISTRICT,385 NEW SCOTLAND AVE ALBANY NY
