,site_name,address
0,EMMAUS UNITED METHODIST CHURCH,240 LAWRENCE ST ALBANY NY
1,EMMAUS UNITED METHODIST CHURCH,256 LAWRENCE ST ALBANY NY
2,NORTHEASTERN CONFERENCE CORP ,168 S ALLEN ST ALBANY NY
3,METROPOLITAN NEW TESTAMENT,270 S MANNING BLVD ALBANY NY
4,TEMPLE ISRAEL OF ALBANY,600 NEW SCOTLAND AVE ALBANY NY
