,site_name,address
0,ALBANY CITY SCHOOL DISTRICT,296 S PEARL ST ALBANY NY
1,ST JOHNS CHURCH OF GOD,92 HERKIMER ST ALBANY NY
2,UNION MISSIONARY BAPTIST,3 MORTON AVE ALBANY NY
3,CHIOU DEVELOPMENT GROUOP LLC,142 GREEN ST ALBANY NY
4,VESTA COMMUNITY HOUSING ,39 S FERRY ST ALBANY NY
5,EQUINOX INC.,35 S FERRY ST ALBANY NY
6,EQUINOX SHELTER INC,59 DONGAN AVE ALBANY NY
7,MOUNT CALVARY BAPTIST CHURCH,58 ALEXANDER ST ALBANY NY
8,WALLS TEMPLE AFRICAN METH,27 DELAWARE ST ALBANY NY
9,HEALING FROM HEAVEN FRIENDS,76 CLINTON ST ALBANY NY
10,HEALING FROM HEAVEN FRIENDS,82 CLINTON ST ALBANY NY
11,NEW CHURCH OF CHRIST OF THE,355 S PEARL ST ALBANY NY
12,MOUNT ZION BAPTIST CHURCH,86 SCHUYLER ST ALBANY NY
13,ST. ANN'S CHURCH,5 ST ANN'S PL ALBANY NY
14,ST. ANN'S CHURCH,95 FOURTH AVE ALBANY NY
15,ST. ANN'S CHURCH,93 FOURTH AVE ALBANY NY
16,REIGNING LIFE MINISTRIES,33 RENSSELAER ST ALBANY NY
17,ST JOHNS CHURCH OF GOD,74 FOURTH AVE ALBANY NY
