,site_name,address
0,CITY OF ALBANY,REAR N PEARL ST ALBANY NY
1,ALBANY CITY SCHOOL DISTRICT,596 N PEARL ST ALBANY NY
2,HOLINESS APOSTOLIC CHURCH OF,1192 BROADWAY ALBANY NY
3,SACRED HEART CHURCH,37 WALTER ST ALBANY NY
4,SACRED HEART CHURCH,35 WALTER ST ALBANY NY
5,ALBANY HOUSING COALITION INC.,29 WALTER ST ALBANY NY
