,site_name,address
0,KIPP TECH VALLEY CHARTER ,400 NORTHERN BLVD ALBANY NY
1,ALBANY CITY SCHOOL DISTRICT,1 ARBOR DR ALBANY NY
2,204 SECOND ST LLC,204 SECOND ST ALBANY NY
3,CITY OF ALBANY,56 N LARK ST ALBANY NY
4,ARBOR HILL CHURCH OF GOD,40 LARK ST ALBANY NY
5,REVELATION CHURCH OF GOD,258 ORANGE ST ALBANY NY
6,ALBANY HOUSING COALITION INC.,180 FIRST ST ALBANY NY
7,EBENEZER MISSIONARY BAPTIST CH,138 SECOND ST ALBANY NY
8,METROPOLITAN NEW TESTAMENT,105 SECOND ST ALBANY NY
9,BETHANY BAPTIST CHURCH,57 SECOND ST ALBANY NY
10,CHURCH AT ALBANY INC,101 FIRST ST ALBANY NY
11,NEW COVENANT CHRISTIAN,163 CLINTON AVE ALBANY NY
12,CITY OF ALBANY,38 TEN BROECK ST ALBANY NY
13,SWEET PILGRIM BAPTIST,4 TEN BROECK ST ALBANY NY
14,MOUNT OLIVE SOUTHERN MISSIONAR,236 N PEARL ST ALBANY NY
15,222 NORTH PEARL ASSOCIATES LLC,222 N PEARL ST ALBANY NY
16,FIRST REFORMED CHURCH - ALBANY,110 N PEARL ST ALBANY NY
